0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1748	
0	,349	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,716	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,580	,749	,0	,8	,0	,0	,22	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,830	
0	,0	,0	,0	,0	,1357	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,58	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1455	
0	,0	,0	,0	,0	,0	,0	,766	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,1059	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,1105	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1001	
0	,0	,38	,0	,0	,0	,0	,0	,0	,0	,0	,1282	,0	,0	,0	,1	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,430	,0	,9	,0	,0	,173	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,301	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1406	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,301	,0	,592	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1036	,0	,922	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,327	,0	
1252	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,985	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,195	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1204	
0	,0	,0	,0	,295	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,1648	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,33	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,820	
0	,0	,0	,0	,0	,0	,0	,892	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,644	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
912	,0	,0	,0	,0	,0	,0	,0	,0	,59	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,1729	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,77	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1535	
0	,0	,0	,0	,849	,0	,0	,0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,754	
0	,0	,0	,0	,0	,0	,35	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,879	
0	,0	,0	,0	,0	,0	,0	,1160	,0	,0	,0	,0	,0	,0	,0	,0	,25	,0	,23	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,23	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,700	
0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,725	
0	,0	,869	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
