0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1748.000000	
0.000000	,348.999680	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000320	
0.000000	,0.000000	,716.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	
0.000000	,0.000000	,580.548417	,749.389012	,0.000000	,7.319609	,0.000000	,0.000000	,21.742932	,0.000000	,0.000000	,0.000000	,0.000013	,0.000000	,0.000000	,0.000000	,0.000000	,0.000005	,0.000012	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,830.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1356.999952	,0.000000	,0.000001	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000047	,0.000000	,0.000000	,0.000000	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,58.199836	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1454.800164	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,765.999915	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000045	,0.000000	,0.000040	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1058.999167	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000247	,0.000586	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1105.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1001.000000	
0.000000	,0.000000	,38.507445	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1282.480364	,0.006436	,0.000000	,0.000131	,0.001897	,0.000000	,0.003727	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,430.201957	,0.000000	,8.730167	,0.000000	,0.000000	,173.067876	,0.000000	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,300.847206	,0.000000	,0.000000	,0.000000	,0.000000	,0.152794	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,1405.999997	,0.000000	,0.000001	,0.000000	,0.000001	
0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000035	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000000	,0.000002	,0.000000	,301.214605	,0.000000	,591.784491	,0.000867	
