1109.473577	,10.891318	,0.277347	,0.002060	,303.880490	,0.157185	,0.041350	,3.911744	,0.362499	,309.415275	,0.034958	,0.003327	,0.000448	,9.067021	,0.017892	,0.014276	,0.370410	,0.078822	
0.081408	,335.366094	,0.001595	,0.000350	,3.435452	,0.197346	,0.000238	,7.874799	,0.059754	,0.022704	,1.076444	,0.000019	,0.000076	,0.102505	,0.022464	,0.000082	,0.745678	,0.012993	
1.014650	,0.780555	,682.379309	,3.080032	,6.762996	,5.207837	,0.903141	,2.165397	,2.672790	,0.282970	,0.002505	,8.184914	,0.670284	,0.201791	,0.592802	,0.311808	,0.205045	,0.581174	
0.767274	,17.442375	,313.521037	,202.542048	,32.379130	,342.465917	,0.414951	,141.535737	,169.477766	,0.213981	,0.055986	,3.760581	,44.077664	,0.966111	,38.982511	,0.143261	,13.402261	,36.851409	
17.680867	,26.742136	,0.107559	,0.005059	,746.136843	,0.385947	,0.013259	,9.604751	,0.890066	,4.930924	,0.085836	,0.001290	,0.001101	,22.262826	,0.043932	,0.004578	,0.909490	,0.193537	
0.245313	,41.204807	,2.221636	,1.435229	,10.352266	,809.020694	,0.037450	,334.355433	,27.529133	,0.068414	,0.132257	,0.026648	,0.312338	,0.308885	,92.089919	,0.012930	,31.660687	,5.985961	
71.409514	,54.934279	,426.322715	,1.924278	,393.542891	,41.439933	,63.561689	,152.397299	,188.106847	,19.915025	,0.176326	,5.113600	,0.418766	,11.742319	,4.717061	,21.944564	,14.430761	,40.902135	
0.274668	,73.975695	,0.041561	,0.026687	,11.591069	,15.043106	,0.006196	,600.274031	,4.554911	,0.076601	,0.237444	,0.000499	,0.005808	,0.345848	,1.712340	,0.002139	,56.840973	,0.990424	
1.795392	,39.594425	,3.618462	,2.254034	,75.765995	,87.364766	,0.539487	,321.288031	,396.571848	,0.500708	,0.127089	,0.043402	,0.490528	,2.260665	,9.944633	,0.186257	,30.423312	,86.230966	
10.838533	,0.106398	,0.002709	,0.000020	,2.968632	,0.001536	,0.000404	,0.038214	,0.003541	,1058.250389	,0.119564	,0.011378	,0.001534	,31.010681	,0.061194	,0.048827	,1.266861	,0.269584	
0.078261	,322.400934	,0.001533	,0.000337	,3.302638	,0.189716	,0.000229	,7.570361	,0.057444	,7.641243	,362.294411	,0.006438	,0.025643	,34.499750	,7.560493	,0.027629	,250.969921	,4.373020	
0.293439	,0.225739	,197.345889	,0.890753	,1.955876	,1.506120	,0.261191	,0.626238	,0.772978	,28.650776	,0.253671	,828.723160	,67.866266	,20.431315	,60.021273	,31.570574	,20.760832	,58.843908	
0.009449	,0.214812	,3.861180	,2.494414	,0.398766	,4.217652	,0.005110	,1.743089	,2.087210	,0.922617	,0.241393	,16.214422	,190.048778	,4.165561	,168.080111	,0.617696	,57.786258	,158.891481	
0.494781	,0.748351	,0.003010	,0.000142	,20.879861	,0.010800	,0.000371	,0.268779	,0.024908	,48.309283	,0.840951	,0.012640	,0.010786	,218.113496	,0.430410	,0.044849	,8.910464	,1.896120	
0.007347	,1.233979	,0.066532	,0.042981	,0.310024	,24.228118	,0.001122	,10.013097	,0.824428	,0.717296	,1.386671	,0.279392	,3.274748	,3.238548	,965.528902	,0.135561	,331.950651	,62.760601	
1.476747	,1.136040	,8.816344	,0.039794	,8.138458	,0.856977	,1.314454	,3.151572	,3.890045	,144.186309	,1.276612	,37.022854	,3.031897	,85.015290	,34.151884	,158.880323	,104.479812	,296.134590	
0.024686	,6.648483	,0.003735	,0.002398	,1.041734	,1.351982	,0.000557	,53.948956	,0.409368	,2.410238	,7.471157	,0.015685	,0.182738	,10.882080	,53.878635	,0.067313	,1788.496635	,31.163618	
0.012622	,0.278351	,0.025438	,0.015846	,0.532639	,0.614179	,0.003793	,2.258673	,2.787922	,1.232356	,0.312794	,0.106823	,1.207302	,5.564012	,24.476014	,0.458421	,74.878719	,212.234098	
966.583867	,9.488619	,0.241627	,0.001795	,264.743555	,0.136941	,0.036025	,3.407949	,0.315812	,6.832118	,0.000772	,0.000073	,0.000010	,0.200207	,0.000395	,0.000315	,0.008179	,0.001740	
0.231042	,951.791220	,0.004526	,0.000994	,9.750040	,0.560080	,0.000675	,22.349201	,0.169587	,0.001633	,0.077429	,0.000001	,0.000005	,0.007373	,0.001616	,0.000006	,0.053637	,0.000935	
0.280550	,0.215823	,188.677285	,0.851626	,1.869963	,1.439962	,0.249718	,0.598730	,0.739024	,0.001983	,0.000018	,0.057359	,0.004697	,0.001414	,0.004154	,0.002185	,0.001437	,0.004073	
0.754702	,17.156593	,308.384203	,199.223531	,31.848620	,336.854840	,0.408152	,139.216768	,166.700985	,0.005334	,0.001396	,0.093750	,1.098842	,0.024085	,0.971821	,0.003571	,0.334114	,0.918693	
6.501233	,9.833051	,0.039549	,0.001860	,274.353607	,0.141912	,0.004875	,3.531655	,0.327276	,0.045953	,0.000800	,0.000012	,0.000010	,0.207474	,0.000409	,0.000043	,0.008476	,0.001804	
0.328756	,55.220673	,2.977328	,1.923425	,13.873602	,1084.210082	,0.050189	,448.086847	,36.893202	,0.002324	,0.004492	,0.000905	,0.010609	,0.010492	,3.127929	,0.000439	,1.075388	,0.203319	
43.612700	,33.550602	,260.372654	,1.175235	,240.352679	,25.309056	,38.819713	,93.075241	,114.884517	,0.308268	,0.002729	,0.079154	,0.006482	,0.181761	,0.073016	,0.339684	,0.223376	,0.633132	
0.346387	,93.291410	,0.052412	,0.033655	,14.617601	,18.970995	,0.007814	,757.010945	,5.744239	,0.002448	,0.007589	,0.000016	,0.000186	,0.011054	,0.054731	,0.000068	,1.816792	,0.031657	
1.240470	,27.356522	,2.500062	,1.557354	,52.348129	,60.361935	,0.372742	,221.983851	,273.998834	,0.008768	,0.002225	,0.000760	,0.008590	,0.039587	,0.174143	,0.003262	,0.532751	,1.510015	
417.687809	,4.100296	,0.104414	,0.000776	,114.403064	,0.059176	,0.015567	,1.472669	,0.136471	,420.005977	,0.047453	,0.004516	,0.000609	,12.307741	,0.024287	,0.019379	,0.502801	,0.106995	
0.397426	,1637.217038	,0.007785	,0.001709	,16.771464	,0.963417	,0.001161	,38.443822	,0.291714	,0.399632	,18.947737	,0.000337	,0.001341	,1.804312	,0.395408	,0.001445	,13.125546	,0.228706	
0.104905	,0.080702	,70.551614	,0.318446	,0.699230	,0.538441	,0.093376	,0.223882	,0.276341	,0.105488	,0.000934	,3.051224	,0.249873	,0.075225	,0.220989	,0.116238	,0.076438	,0.216654	
0.684844	,15.568508	,279.838887	,180.782578	,28.900580	,305.674164	,0.370372	,126.330288	,151.270453	,0.688645	,0.180176	,12.102503	,141.853100	,3.109190	,125.455607	,0.461050	,43.131874	,118.597181	
16.623115	,25.142296	,0.101124	,0.004756	,701.499459	,0.362857	,0.012466	,9.030150	,0.836818	,16.715373	,0.290975	,0.004373	,0.003732	,75.468902	,0.148925	,0.015518	,3.083087	,0.656072	
0.108977	,18.304748	,0.986935	,0.637584	,4.598872	,359.397880	,0.016637	,148.533449	,12.229492	,0.109582	,0.211843	,0.042683	,0.500287	,0.494757	,147.505039	,0.020710	,50.712509	,9.588014	
35.782916	,27.527266	,213.627974	,0.964245	,197.202184	,20.765323	,31.850414	,76.365451	,94.259310	,35.981511	,0.318577	,9.239006	,0.756606	,21.215458	,8.522559	,39.648383	,26.072805	,73.900012	
0.359522	,96.829212	,0.054400	,0.034931	,15.171931	,19.690414	,0.008111	,785.718358	,5.962072	,0.361518	,1.120618	,0.002353	,0.027409	,1.632231	,8.081392	,0.010096	,268.261122	,4.674310	
0.029532	,0.651285	,0.059520	,0.037076	,1.246267	,1.437054	,0.008874	,5.284833	,6.523168	,0.029696	,0.007537	,0.002574	,0.029092	,0.134076	,0.589799	,0.011047	,1.804355	,5.114213	
200.591172	,1.969134	,0.050144	,0.000373	,54.941140	,0.028419	,0.007476	,0.707238	,0.065539	,428.366536	,0.048398	,0.004606	,0.000621	,12.552736	,0.024771	,0.019764	,0.512810	,0.109124	
0.163176	,672.211228	,0.003197	,0.000702	,6.886055	,0.395561	,0.000477	,15.784327	,0.119772	,0.348465	,16.521783	,0.000294	,0.001169	,1.573299	,0.344783	,0.001260	,11.445030	,0.199424	
1.116889	,0.859206	,751.137733	,3.390384	,7.444455	,5.732593	,0.994144	,2.383588	,2.942107	,2.385139	,0.021118	,68.990100	,5.649776	,1.700880	,4.996691	,2.628208	,1.728312	,4.898677	
0.278215	,6.324644	,113.683421	,73.442194	,11.740744	,124.178898	,0.150462	,51.321171	,61.453013	,0.594134	,0.155449	,10.441535	,122.384932	,2.682479	,108.237860	,0.397775	,37.212380	,102.320696	
