7	,0	,0	,0	,0	,0	,1	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	
0	,59	,0	,0	,1	,4	,1	,13	,3	,0	,2	,0	,1	,0	,0	,0	,2	,0	
0	,0	,69	,1	,0	,0	,13	,0	,1	,0	,0	,18	,1	,0	,0	,1	,0	,0	
0	,0	,12	,32	,0	,9	,2	,0	,13	,0	,0	,3	,26	,0	,0	,0	,0	,1	
10	,2	,1	,0	,31	,3	,19	,7	,18	,1	,0	,0	,0	,2	,0	,2	,1	,1	
0	,0	,0	,1	,0	,44	,1	,2	,5	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,6	,1	,25	,5	,0	,0	,0	,0	,0	,0	,0	,2	,0	
0	,0	,0	,1	,0	,4	,5	,1	,54	,0	,0	,0	,0	,0	,0	,1	,0	,4	
3	,0	,0	,0	,0	,0	,0	,0	,0	,74	,0	,1	,0	,1	,0	,9	,0	,1	
0	,2	,0	,0	,0	,0	,0	,1	,0	,0	,10	,0	,0	,0	,0	,1	,12	,2	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,33	,2	,0	,0	,3	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,2	,15	,0	,0	,0	,0	,1	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1	,1	,4	,0	,4	,1	,2	
0	,0	,0	,0	,0	,6	,0	,0	,1	,0	,0	,2	,17	,0	,5	,2	,8	,14	
0	,0	,0	,0	,0	,0	,2	,0	,0	,0	,0	,9	,1	,0	,0	,81	,0	,2	
0	,0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,1	,18	,3	
0	,0	,0	,0	,0	,0	,0	,0	,3	,0	,0	,1	,8	,0	,0	,10	,3	,66	
42	,0	,0	,0	,1	,0	,4	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,73	,0	,0	,1	,5	,1	,19	,4	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,42	,1	,0	,0	,8	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,11	,27	,0	,7	,2	,0	,11	,0	,0	,0	,1	,0	,0	,0	,0	,0	
7	,2	,1	,0	,24	,2	,15	,6	,14	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,4	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,1	,0	,0	,0	,9	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,1	,0	,6	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,2	,2	,1	,22	,0	,0	,0	,0	,0	,0	,0	,0	,0	
39	,0	,0	,0	,1	,0	,4	,0	,0	,12	,0	,0	,0	,0	,0	,2	,0	,0	
0	,61	,0	,0	,0	,4	,1	,16	,4	,0	,5	,0	,0	,0	,0	,0	,6	,1	
0	,0	,46	,1	,0	,0	,9	,0	,0	,0	,0	,42	,3	,0	,0	,3	,0	,0	
0	,0	,1	,1	,0	,0	,0	,0	,1	,0	,0	,1	,4	,0	,0	,0	,0	,0	
7	,1	,1	,0	,21	,2	,13	,5	,12	,2	,0	,1	,0	,5	,0	,5	,2	,3	
0	,0	,3	,1	,0	,69	,1	,3	,8	,0	,0	,0	,2	,0	,1	,0	,1	,2	
0	,0	,3	,0	,0	,0	,55	,0	,2	,0	,0	,2	,0	,0	,0	,22	,0	,1	
0	,0	,0	,0	,0	,3	,0	,13	,3	,0	,0	,0	,0	,0	,0	,0	,5	,1	
0	,0	,0	,0	,0	,1	,1	,0	,7	,0	,0	,0	,0	,0	,0	,0	,0	,2	
51	,0	,0	,0	,1	,0	,5	,0	,1	,33	,0	,1	,0	,1	,0	,4	,0	,0	
0	,26	,0	,0	,0	,2	,1	,7	,2	,0	,4	,0	,0	,0	,0	,0	,5	,1	
0	,0	,8	,0	,0	,0	,1	,0	,0	,0	,0	,15	,1	,0	,0	,1	,0	,0	
0	,0	,2	,5	,0	,1	,1	,0	,2	,0	,0	,4	,31	,0	,0	,0	,0	,1	
3	,1	,0	,0	,11	,1	,7	,3	,6	,2	,0	,1	,0	,5	,0	,6	,2	,4	
0	,0	,0	,0	,0	,21	,0	,1	,2	,0	,0	,0	,2	,0	,1	,0	,1	,1	
0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,6	,1	,26	,6	,0	,0	,0	,0	,0	,0	,0	,19	,3	
0	,0	,0	,1	,0	,2	,2	,1	,27	,0	,0	,0	,2	,0	,0	,2	,1	,15	
6	,0	,0	,0	,0	,0	,0	,0	,0	,45	,0	,1	,0	,1	,0	,6	,0	,0	
0	,5	,0	,0	,0	,0	,0	,1	,0	,0	,10	,0	,0	,0	,0	,1	,12	,2	
0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,34	,2	,0	,0	,3	,0	,0	
0	,0	,0	,1	,0	,0	,0	,0	,1	,0	,0	,9	,77	,0	,0	,1	,0	,3	
1	,0	,0	,0	,4	,0	,2	,1	,2	,9	,0	,3	,2	,20	,0	,22	,7	,14	
0	,0	,0	,0	,0	,20	,0	,1	,2	,0	,0	,2	,17	,0	,5	,2	,9	,15	
0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,2	,0	,0	,0	,14	,0	,1	
0	,0	,0	,0	,0	,2	,0	,8	,2	,0	,0	,0	,1	,0	,0	,2	,69	,11	
0	,0	,0	,0	,0	,0	,0	,0	,2	,0	,0	,0	,2	,0	,0	,2	,0	,12	
67	,0	,0	,0	,1	,0	,7	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,7	,0	,0	,0	,1	,0	,2	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,38	,1	,0	,0	,7	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,17	,44	,0	,12	,3	,1	,18	,0	,0	,0	,1	,0	,0	,0	,0	,0	
1	,0	,0	,0	,5	,0	,3	,1	,3	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,1	,0	,84	,1	,4	,9	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,1	,0	,0	,0	,21	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,1	,0	,2	,0	,15	,0	,67	,14	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,1	,1	,1	,15	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,29	,0	,0	,0	,1	,0	,4	,0	,0	
0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,14	,0	,0	,0	,0	,1	,16	,3	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,30	,2	,0	,0	,2	,0	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,7	,56	,0	,0	,1	,0	,2	
0	,0	,0	,0	,0	,0	,0	,0	,0	,3	,0	,1	,1	,7	,0	,6	,4	,5	
0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,1	,7	,0	,2	,1	,4	,6	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,4	,0	,0	,0	,30	,0	,1	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,2	,0	
0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,4	,0	,0	,4	,1	,28	
22	,0	,0	,0	,0	,0	,2	,0	,0	,12	,0	,0	,0	,0	,0	,2	,0	,0	
0	,30	,0	,0	,0	,2	,0	,8	,2	,0	,4	,0	,0	,0	,0	,0	,5	,1	
0	,0	,14	,0	,0	,0	,3	,0	,0	,0	,0	,23	,1	,0	,0	,2	,0	,0	
0	,0	,4	,11	,0	,3	,1	,0	,5	,0	,0	,7	,58	,0	,0	,1	,0	,2	
7	,1	,1	,0	,23	,2	,14	,5	,14	,4	,0	,1	,1	,9	,1	,10	,3	,6	
0	,0	,0	,0	,0	,15	,0	,1	,2	,0	,0	,0	,1	,0	,0	,0	,0	,1	
0	,0	,0	,0	,0	,0	,2	,0	,0	,0	,0	,0	,0	,0	,0	,2	,0	,0	
0	,0	,0	,0	,0	,0	,0	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,0	,0	,0	,2	,3	,1	,28	,0	,0	,0	,2	,0	,0	,2	,0	,12	
