1110	,11	,0	,0	,304	,0	,0	,4	,0	,310	,0	,0	,0	,9	,0	,0	,0	,0	
0	,336	,1	,0	,0	,1	,1	,8	,0	,0	,1	,0	,0	,0	,0	,0	,1	,0	
1	,1	,682	,3	,7	,5	,1	,2	,3	,0	,0	,8	,1	,0	,1	,0	,0	,1	
1	,18	,314	,202	,32	,342	,0	,142	,170	,0	,0	,4	,44	,1	,39	,0	,13	,37	
18	,27	,0	,0	,746	,0	,0	,10	,1	,5	,0	,0	,0	,22	,0	,0	,1	,0	
0	,41	,2	,2	,10	,809	,0	,335	,28	,0	,0	,0	,0	,0	,92	,0	,32	,6	
71	,55	,426	,2	,394	,42	,64	,152	,188	,20	,0	,5	,0	,12	,5	,22	,14	,41	
0	,74	,0	,0	,12	,15	,0	,600	,5	,0	,0	,0	,0	,0	,2	,0	,57	,1	
2	,40	,4	,2	,76	,87	,1	,321	,397	,0	,0	,0	,1	,2	,10	,0	,30	,86	
11	,0	,0	,0	,3	,0	,0	,0	,0	,1058	,0	,0	,0	,31	,0	,0	,1	,1	
0	,322	,0	,0	,3	,0	,0	,8	,0	,8	,362	,0	,0	,35	,8	,0	,251	,4	
0	,0	,197	,1	,2	,1	,0	,1	,1	,29	,0	,829	,68	,20	,60	,32	,21	,59	
0	,0	,4	,3	,0	,4	,0	,2	,2	,1	,0	,16	,190	,4	,168	,1	,58	,159	
1	,1	,0	,0	,21	,0	,0	,0	,0	,48	,1	,0	,0	,218	,0	,0	,9	,2	
0	,1	,0	,0	,0	,24	,0	,10	,1	,1	,2	,0	,3	,3	,966	,0	,332	,63	
2	,1	,9	,0	,8	,1	,1	,3	,4	,144	,1	,37	,3	,85	,34	,159	,105	,296	
0	,7	,0	,0	,1	,1	,0	,54	,0	,2	,8	,0	,0	,11	,54	,0	,1789	,31	
0	,0	,0	,0	,1	,1	,0	,2	,3	,1	,0	,0	,1	,6	,25	,0	,75	,212	
967	,10	,0	,0	,265	,0	,0	,3	,0	,7	,0	,0	,0	,0	,0	,0	,0	,0	
0	,952	,0	,0	,10	,1	,0	,22	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,0	,189	,1	,2	,1	,0	,1	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
1	,17	,308	,199	,32	,337	,1	,139	,167	,0	,0	,0	,1	,0	,1	,0	,0	,1	
7	,10	,0	,0	,274	,0	,0	,4	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
1	,55	,3	,2	,14	,1084	,0	,448	,37	,0	,0	,0	,0	,0	,3	,0	,1	,0	
44	,34	,261	,1	,240	,25	,39	,93	,115	,0	,0	,0	,0	,0	,0	,0	,0	,1	
0	,93	,0	,0	,15	,19	,0	,757	,6	,0	,0	,0	,0	,0	,0	,0	,2	,0	
1	,27	,3	,2	,52	,60	,0	,222	,274	,0	,0	,0	,0	,0	,0	,0	,1	,2	
418	,4	,0	,0	,114	,0	,0	,2	,0	,420	,0	,0	,0	,12	,0	,0	,1	,0	
0	,1637	,0	,0	,17	,1	,0	,39	,0	,1	,19	,0	,0	,2	,0	,0	,13	,0	
0	,0	,71	,1	,1	,1	,0	,0	,0	,0	,0	,3	,0	,0	,0	,0	,0	,0	
1	,16	,280	,181	,29	,306	,0	,126	,151	,1	,0	,12	,142	,3	,125	,0	,43	,119	
17	,25	,0	,0	,702	,0	,0	,9	,1	,17	,0	,0	,0	,75	,0	,0	,3	,1	
0	,18	,1	,1	,5	,359	,0	,149	,12	,0	,0	,0	,0	,0	,148	,0	,51	,10	
36	,28	,214	,1	,197	,21	,32	,76	,94	,36	,0	,9	,1	,21	,8	,40	,26	,74	
0	,97	,0	,0	,15	,20	,0	,786	,6	,0	,1	,0	,0	,2	,8	,0	,268	,5	
0	,1	,0	,0	,1	,1	,0	,5	,7	,0	,0	,0	,0	,0	,1	,0	,2	,5	
201	,2	,0	,0	,55	,0	,0	,1	,0	,428	,0	,0	,0	,13	,0	,0	,0	,0	
0	,672	,0	,0	,7	,0	,0	,16	,0	,0	,17	,0	,0	,2	,0	,0	,12	,0	
1	,1	,751	,3	,7	,6	,1	,2	,3	,2	,0	,69	,6	,2	,5	,3	,2	,5	
0	,6	,114	,74	,12	,124	,0	,51	,61	,1	,0	,11	,123	,3	,108	,0	,37	,102	
32	,48	,0	,0	,1345	,1	,0	,17	,2	,68	,1	,0	,0	,307	,1	,0	,12	,3	
0	,33	,2	,1	,8	,656	,0	,271	,22	,1	,1	,0	,2	,2	,572	,0	,197	,37	
17	,13	,103	,0	,95	,10	,15	,37	,46	,37	,0	,10	,1	,22	,9	,41	,27	,76	
0	,62	,0	,0	,10	,13	,0	,503	,4	,0	,2	,0	,0	,2	,11	,0	,364	,6	
1	,22	,2	,1	,42	,49	,0	,179	,221	,2	,1	,0	,2	,10	,43	,1	,130	,369	
68	,1	,0	,0	,19	,0	,0	,0	,0	,1796	,0	,0	,0	,53	,0	,0	,2	,1	
0	,1119	,0	,0	,12	,1	,0	,26	,0	,7	,339	,0	,0	,32	,7	,0	,235	,4	
1	,1	,530	,2	,5	,4	,1	,2	,2	,21	,0	,600	,49	,15	,43	,23	,15	,43	
0	,2	,37	,24	,4	,41	,0	,17	,20	,2	,1	,42	,494	,11	,437	,1	,150	,413	
5	,8	,0	,0	,209	,0	,0	,3	,0	,130	,2	,0	,0	,589	,1	,0	,24	,5	
0	,0	,0	,0	,0	,3	,0	,2	,0	,0	,0	,0	,0	,0	,35	,0	,12	,3	
1	,1	,6	,0	,5	,1	,1	,2	,2	,25	,0	,6	,0	,14	,6	,27	,18	,51	
0	,4	,0	,0	,1	,1	,0	,35	,0	,1	,1	,0	,0	,2	,9	,0	,312	,6	
0	,2	,0	,0	,3	,4	,0	,9	,17	,2	,1	,4	,2	,9	,40	,1	,122	,345	
1169	,12	,0	,0	,320	,0	,0	,4	,1	,8	,0	,0	,0	,0	,0	,0	,0	,0	
0	,79	,0	,0	,1	,0	,0	,2	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	
2	,1	,1003	,5	,10	,8	,1	,3	,4	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,2	,44	,28	,5	,48	,0	,20	,24	,0	,0	,0	,0	,0	,0	,0	,0	,0	
14	,22	,0	,0	,600	,0	,0	,8	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
0	,50	,3	,2	,13	,984	,0	,407	,33	,0	,0	,0	,0	,0	,3	,0	,1	,0	
71	,55	,426	,2	,394	,42	,64	,152	,188	,1	,0	,0	,0	,0	,0	,1	,0	,1	
0	,15	,0	,0	,2	,3	,0	,118	,1	,0	,0	,0	,0	,0	,0	,0	,0	,0	
3	,57	,5	,3	,109	,126	,1	,462	,570	,0	,0	,0	,0	,0	,0	,0	,1	,3	
3	,0	,0	,0	,1	,0	,0	,0	,0	,843	,0	,0	,0	,25	,0	,0	,1	,0	
0	,45	,0	,0	,1	,0	,0	,1	,0	,3	,148	,0	,0	,14	,3	,0	,103	,2	
