27.964229	,0.005550	,0.416337	,0.017463	,0.395211	,0.001555	,0.712918	,0.000583	,0.056570	,9.839307	,0.000038	,0.171330	,0.004146	,0.684036	,0.003000	,0.685773	,0.006455	,0.035500	
0.588285	,48.992476	,0.686362	,0.850716	,1.280980	,0.559825	,1.175298	,0.336756	,2.673505	,0.206990	,0.333501	,0.282450	,0.201981	,2.217139	,1.079931	,1.130548	,3.725515	,1.677742	
0.002151	,0.000033	,86.174919	,2.196095	,0.000740	,0.004335	,1.309930	,0.000027	,0.035089	,0.000757	,0.000000	,35.462497	,0.521407	,0.001281	,0.008362	,1.260054	,0.000301	,0.022020	
0.000515	,0.000237	,12.524317	,45.681821	,0.001121	,0.090173	,0.190380	,0.000562	,0.703812	,0.000181	,0.000002	,5.153977	,10.845998	,0.001940	,0.173948	,0.183131	,0.006215	,0.441673	
5.452476	,0.166716	,1.975481	,0.524600	,11.872672	,0.046722	,2.796922	,0.017528	,1.699437	,1.918472	,0.001135	,0.812945	,0.124553	,20.549402	,0.090130	,2.690428	,0.193912	,1.066471	
0.009963	,0.033829	,5.373562	,19.599798	,0.021693	,12.897911	,1.040348	,0.080356	,6.922106	,0.003505	,0.000230	,2.211315	,4.653478	,0.037547	,24.880721	,1.000736	,0.888975	,4.343926	
0.093257	,0.001450	,33.158954	,0.845028	,0.026519	,0.021245	,56.779981	,0.001178	,1.520979	,0.032813	,0.000010	,13.645494	,0.200631	,0.045900	,0.040982	,54.618069	,0.013030	,0.954481	
0.190754	,1.038596	,1.719034	,6.232216	,0.415365	,4.101193	,2.943600	,2.467020	,19.585677	,0.067118	,0.007070	,0.707413	,1.479683	,0.718919	,7.911409	,2.831522	,27.292538	,12.290873	
0.050922	,0.022702	,6.112318	,21.497270	,0.110882	,0.972722	,10.466474	,0.053926	,69.640218	,0.017917	,0.000155	,2.515327	,5.103985	,0.191916	,1.876429	,10.067960	,0.596580	,43.702297	
1.352746	,0.000268	,0.020140	,0.000845	,0.019118	,0.000075	,0.034487	,0.000028	,0.002737	,166.636868	,0.000640	,2.901616	,0.070217	,11.584727	,0.050811	,11.614137	,0.109318	,0.601223	
0.005947	,0.495288	,0.006939	,0.008600	,0.012950	,0.005660	,0.011882	,0.003404	,0.027028	,0.732607	,1.180372	,0.999686	,0.714879	,7.847199	,3.822239	,4.001388	,13.185844	,5.938090	
0.000001	,0.000000	,0.052464	,0.001337	,0.000000	,0.000003	,0.000798	,0.000000	,0.000021	,0.000161	,0.000000	,7.558690	,0.111136	,0.000273	,0.001782	,0.268575	,0.000064	,0.004694	
0.000002	,0.000001	,0.048467	,0.176782	,0.000004	,0.000349	,0.000737	,0.000002	,0.002724	,0.000245	,0.000002	,6.982829	,14.694623	,0.002628	,0.235672	,0.248114	,0.008420	,0.598397	
0.023771	,0.000727	,0.008612	,0.002287	,0.051760	,0.000204	,0.012193	,0.000076	,0.007409	,2.928158	,0.001732	,1.240796	,0.190105	,31.364493	,0.137565	,4.106393	,0.295967	,1.627752	
0.000085	,0.000289	,0.045863	,0.167282	,0.000185	,0.110082	,0.008879	,0.000686	,0.059079	,0.010474	,0.000688	,6.607556	,13.904901	,0.112194	,74.345237	,2.990266	,2.656317	,12.979937	
0.000195	,0.000003	,0.069187	,0.001763	,0.000055	,0.000044	,0.118473	,0.000002	,0.003174	,0.023970	,0.000007	,9.967994	,0.146560	,0.033530	,0.029937	,39.898341	,0.009518	,0.697246	
0.000010	,0.000056	,0.000092	,0.000333	,0.000022	,0.000219	,0.000157	,0.000132	,0.001047	,0.001256	,0.000132	,0.013243	,0.027701	,0.013459	,0.148106	,0.053008	,0.510933	,0.230093	
0.000352	,0.000157	,0.042302	,0.148778	,0.000767	,0.006732	,0.072436	,0.000373	,0.481965	,0.043413	,0.000374	,6.094570	,12.366822	,0.465007	,4.546539	,24.394402	,1.445497	,105.889514	
87.095274	,0.017284	,1.296691	,0.054388	,1.230893	,0.004844	,2.220399	,0.001817	,0.176188	,0.776689	,0.000003	,0.013524	,0.000327	,0.053996	,0.000237	,0.054133	,0.000510	,0.002802	
1.331903	,110.921192	,1.553956	,1.926061	,2.900196	,1.267470	,2.660927	,0.762430	,6.052936	,0.011878	,0.019137	,0.016208	,0.011590	,0.127224	,0.061969	,0.064873	,0.213778	,0.096272	
0.004081	,0.000063	,163.476315	,4.166056	,0.001404	,0.008223	,2.484975	,0.000052	,0.066566	,0.000036	,0.000000	,1.705039	,0.025069	,0.000062	,0.000402	,0.060583	,0.000014	,0.001059	
0.000967	,0.000444	,23.528164	,85.817805	,0.002105	,0.169398	,0.357648	,0.001055	,1.322179	,0.000009	,0.000000	,0.245396	,0.516410	,0.000092	,0.008282	,0.008719	,0.000296	,0.021029	
8.854154	,0.270727	,3.207939	,0.851886	,19.279767	,0.075871	,4.541859	,0.028463	,2.759677	,0.078959	,0.000047	,0.033458	,0.005126	,0.845753	,0.003709	,0.110730	,0.007981	,0.043893	
0.027377	,0.092963	,14.766561	,53.860293	,0.059614	,35.443489	,2.858878	,0.220819	,19.021963	,0.000244	,0.000016	,0.154014	,0.324105	,0.002615	,1.732890	,0.069699	,0.061915	,0.302545	
0.144521	,0.002248	,51.386658	,1.309545	,0.041097	,0.032923	,87.992325	,0.001825	,2.357072	,0.001289	,0.000000	,0.535957	,0.007880	,0.001803	,0.001610	,2.145245	,0.000512	,0.037489	
0.181015	,0.985570	,1.631267	,5.914025	,0.394158	,3.891803	,2.793312	,2.341064	,18.585714	,0.001614	,0.000170	,0.017014	,0.035588	,0.017291	,0.190277	,0.068101	,0.656411	,0.295607	
0.073699	,0.032857	,8.846305	,31.112811	,0.160478	,1.407812	,15.148036	,0.078046	,100.789679	,0.000657	,0.000006	,0.092266	,0.187222	,0.007040	,0.068830	,0.369308	,0.021883	,1.603065	
18.173713	,0.003607	,0.270574	,0.011349	,0.256844	,0.001011	,0.463319	,0.000379	,0.036764	,23.056012	,0.000089	,0.401470	,0.009715	,1.602872	,0.007030	,1.606941	,0.015125	,0.083186	
0.311598	,25.949947	,0.363547	,0.450601	,0.678499	,0.296524	,0.622522	,0.178370	,1.416081	,0.395308	,0.636918	,0.539421	,0.385742	,4.234274	,2.062444	,2.159111	,7.114956	,3.204137	
0.000278	,0.000004	,11.150176	,0.284153	,0.000096	,0.000561	,0.169492	,0.000004	,0.004540	,0.000353	,0.000000	,16.544325	,0.243252	,0.000597	,0.003901	,0.587853	,0.000140	,0.010273	
0.000679	,0.000312	,16.518891	,60.251830	,0.001478	,0.118933	,0.251101	,0.000741	,0.928289	,0.000861	,0.000008	,24.510276	,51.579274	,0.009224	,0.827226	,0.870900	,0.029556	,2.100420	
3.266611	,0.099881	,1.183522	,0.314291	,7.112989	,0.027992	,1.675653	,0.010501	,1.018143	,4.144174	,0.002451	,1.756078	,0.269052	,44.389651	,0.194693	,5.811710	,0.418878	,2.303731	
0.000218	,0.000739	,0.117412	,0.428255	,0.000474	,0.281819	,0.022732	,0.001756	,0.151248	,0.000276	,0.000018	,0.174213	,0.366613	,0.002958	,1.960167	,0.078841	,0.070036	,0.342226	
0.010597	,0.000165	,3.767800	,0.096019	,0.003013	,0.002414	,6.451821	,0.000134	,0.172826	,0.013443	,0.000004	,5.590559	,0.082198	,0.018805	,0.016790	,22.377021	,0.005338	,0.391051	
0.071875	,0.391336	,0.647720	,2.348254	,0.156506	,1.545300	,1.109127	,0.929555	,7.379742	,0.091184	,0.009605	,0.961069	,2.010250	,0.976701	,10.748190	,3.846816	,37.078778	,16.697991	
0.003146	,0.001402	,0.377583	,1.327975	,0.006850	,0.060089	,0.646557	,0.003331	,4.301963	,0.003991	,0.000034	,0.560247	,1.136828	,0.042746	,0.417944	,2.242472	,0.132878	,9.733964	
44.421466	,0.008816	,0.661355	,0.027739	,0.627796	,0.002471	,1.132477	,0.000927	,0.089862	,119.683278	,0.000460	,2.084022	,0.050432	,8.320476	,0.036494	,8.341600	,0.078515	,0.431815	
0.834590	,69.504800	,0.973731	,1.206897	,1.817304	,0.794215	,1.667375	,0.477750	,3.792856	,2.248607	,3.622944	,3.068359	,2.194195	,24.085593	,11.731689	,12.281554	,40.471622	,18.225919	
