5.521787	,0.028811	,0.000467	,0.000002	,1.370442	,0.000907	,0.000355	,0.017505	,0.001181	,1.039499	,0.009356	,0.000034	,0.000009	,0.006956	,0.000017	,0.000618	,0.001782	,0.000272	
0.005922	,12.966527	,0.000039	,0.000005	,0.226450	,0.016641	,0.000030	,0.515060	,0.002846	,0.001115	,4.210745	,0.000003	,0.000022	,0.001149	,0.000312	,0.000052	,0.052429	,0.000654	
0.022248	,0.009097	,5.062429	,0.012121	,0.134369	,0.132368	,0.034169	,0.042690	,0.038372	,0.004188	,0.002954	,0.372070	,0.057103	,0.000682	,0.002484	,0.059490	,0.004346	,0.008820	
0.010990	,0.132786	,1.519393	,0.520695	,0.420238	,5.686091	,0.010255	,1.822751	,1.589403	,0.002069	,0.043121	,0.111670	,2.452962	,0.002133	,0.106699	,0.017855	,0.185543	,0.365348	
0.048429	,0.038933	,0.000100	,0.000002	,1.851911	,0.001225	,0.000063	,0.023655	,0.001596	,0.009117	,0.012643	,0.000007	,0.000012	,0.009399	,0.000023	,0.000109	,0.002408	,0.000367	
0.000909	,0.081113	,0.002784	,0.000954	,0.034743	,3.473390	,0.000239	,1.113441	,0.066759	,0.000171	,0.026341	,0.000205	,0.004495	,0.000176	,0.065178	,0.000417	,0.113340	,0.015346	
0.885162	,0.361928	,1.788023	,0.004281	,4.420323	,0.595452	,1.359476	,1.698516	,1.526712	,0.166635	,0.117532	,0.131413	,0.020169	,0.022435	,0.011174	,2.366934	,0.172897	,0.350938	
0.002831	,0.405263	,0.000145	,0.000049	,0.108257	,0.179736	,0.000110	,5.563031	,0.030740	,0.000533	,0.131605	,0.000011	,0.000233	,0.000549	,0.003373	,0.000192	,0.566276	,0.007066	
0.021222	,0.248756	,0.014472	,0.004782	,0.811517	,1.197087	,0.011003	,3.414669	,3.069276	,0.003995	,0.080781	,0.001064	,0.022528	,0.004119	,0.022463	,0.019157	,0.347589	,0.705519	
0.160884	,0.000839	,0.000014	,0.000000	,0.039929	,0.000026	,0.000010	,0.000510	,0.000034	,10.603501	,0.095437	,0.000350	,0.000088	,0.070951	,0.000174	,0.006307	,0.018176	,0.002770	
0.000027	,0.060212	,0.000000	,0.000000	,0.001052	,0.000077	,0.000000	,0.002392	,0.000013	,0.001812	,6.845613	,0.000005	,0.000035	,0.001869	,0.000508	,0.000084	,0.085237	,0.001064	
0.000361	,0.000148	,0.082188	,0.000197	,0.002181	,0.002149	,0.000555	,0.000693	,0.000623	,0.023805	,0.016790	,2.114785	,0.324566	,0.003876	,0.014118	,0.338132	,0.024699	,0.050134	
0.000085	,0.001028	,0.011762	,0.004031	,0.003253	,0.044016	,0.000079	,0.014110	,0.012304	,0.005607	,0.116864	,0.302641	,6.647886	,0.005780	,0.289169	,0.048389	,0.502848	,0.990146	
0.017422	,0.014005	,0.000036	,0.000001	,0.666195	,0.000441	,0.000023	,0.008509	,0.000574	,1.148230	,1.592297	,0.000923	,0.001476	,1.183763	,0.002896	,0.013741	,0.303256	,0.046213	
0.000184	,0.016459	,0.000565	,0.000194	,0.007050	,0.704788	,0.000049	,0.225929	,0.013546	,0.012151	,1.871225	,0.014536	,0.319295	,0.012527	,4.630169	,0.029601	,8.051596	,1.090139	
0.001489	,0.000609	,0.003008	,0.000007	,0.007435	,0.001002	,0.002287	,0.002857	,0.002568	,0.098130	,0.069213	,0.077388	,0.011877	,0.013212	,0.006580	,1.393860	,0.101817	,0.206663	
0.000056	,0.007952	,0.000003	,0.000001	,0.002124	,0.003527	,0.000002	,0.109163	,0.000603	,0.003661	,0.904124	,0.000073	,0.001598	,0.003775	,0.023170	,0.001318	,3.890306	,0.048543	
0.000246	,0.002883	,0.000168	,0.000055	,0.009405	,0.013873	,0.000128	,0.039573	,0.035570	,0.016210	,0.327758	,0.004315	,0.091405	,0.016711	,0.091141	,0.077728	,1.410291	,2.862541	
7.131751	,0.037211	,0.000603	,0.000002	,1.770017	,0.001171	,0.000459	,0.022609	,0.001526	,0.034028	,0.000306	,0.000001	,0.000000	,0.000228	,0.000001	,0.000020	,0.000058	,0.000009	
0.002995	,6.557431	,0.000020	,0.000002	,0.114520	,0.008416	,0.000015	,0.260476	,0.001439	,0.000014	,0.053971	,0.000000	,0.000000	,0.000015	,0.000004	,0.000001	,0.000672	,0.000008	
0.068754	,0.028113	,15.645110	,0.037460	,0.415259	,0.409075	,0.105597	,0.131931	,0.118587	,0.000328	,0.000231	,0.029143	,0.004473	,0.000053	,0.000195	,0.004660	,0.000340	,0.000691	
0.013043	,0.157597	,1.803293	,0.617988	,0.498760	,6.748542	,0.012171	,2.163333	,1.886384	,0.000062	,0.001297	,0.003359	,0.073787	,0.000064	,0.003210	,0.000537	,0.005581	,0.010990	
0.270861	,0.217747	,0.000558	,0.000014	,10.357558	,0.006854	,0.000350	,0.132299	,0.008928	,0.001292	,0.001792	,0.000001	,0.000002	,0.001332	,0.000003	,0.000015	,0.000341	,0.000052	
0.000190	,0.016969	,0.000582	,0.000200	,0.007268	,0.726643	,0.000050	,0.232935	,0.013966	,0.000001	,0.000140	,0.000001	,0.000024	,0.000001	,0.000346	,0.000002	,0.000601	,0.000081	
0.347803	,0.142211	,0.702561	,0.001682	,1.736861	,0.233969	,0.534174	,0.667392	,0.599885	,0.001659	,0.001170	,0.001309	,0.000201	,0.000223	,0.000111	,0.023572	,0.001722	,0.003495	
0.000449	,0.064244	,0.000023	,0.000008	,0.017161	,0.028493	,0.000017	,0.881880	,0.004873	,0.000002	,0.000529	,0.000000	,0.000001	,0.000002	,0.000014	,0.000001	,0.002275	,0.000028	
0.048104	,0.563857	,0.032803	,0.010840	,1.839470	,2.713442	,0.024941	,7.740046	,6.957142	,0.000230	,0.004641	,0.000061	,0.001294	,0.000237	,0.001290	,0.001101	,0.019969	,0.040532	
4.619389	,0.024102	,0.000391	,0.000002	,1.146478	,0.000759	,0.000297	,0.014644	,0.000988	,3.135509	,0.028221	,0.000104	,0.000026	,0.020980	,0.000051	,0.001865	,0.005375	,0.000819	
0.003458	,7.570578	,0.000023	,0.000003	,0.132214	,0.009716	,0.000017	,0.300721	,0.001662	,0.002347	,8.864275	,0.000006	,0.000045	,0.002420	,0.000657	,0.000109	,0.110372	,0.001377	
0.033366	,0.013643	,7.592509	,0.018179	,0.201524	,0.198523	,0.051246	,0.064026	,0.057550	,0.022648	,0.015974	,2.012007	,0.308792	,0.003688	,0.013432	,0.321699	,0.023499	,0.047697	
