265.952330	,13.009975	,4.768597	,0.100501	,20.264430	,0.580519	,3.197905	,2.035805	,0.964186	,12.379388	,1.661902	,0.056549	,0.029478	,7.880298	,0.073562	,0.066176	,0.516218	,0.462184	
0.001235	,25.344813	,0.001735	,0.001080	,0.014494	,0.046111	,0.001163	,0.259286	,0.010055	,0.000057	,3.237562	,0.000021	,0.000317	,0.005636	,0.005843	,0.000024	,0.065747	,0.004820	
0.005235	,0.020068	,252.524151	,3.233615	,0.009707	,0.413972	,1.503317	,0.024256	,0.153013	,0.000244	,0.002564	,2.994580	,0.948441	,0.003775	,0.052457	,0.031109	,0.006150	,0.073347	
0.000485	,0.054949	,14.216497	,26.055366	,0.005694	,3.335646	,0.084633	,0.194263	,1.188844	,0.000023	,0.007019	,0.168588	,7.642212	,0.002214	,0.422683	,0.001751	,0.049259	,0.569874	
0.819142	,6.173922	,0.357424	,0.047693	,9.616545	,0.275487	,0.198185	,0.966097	,0.457557	,0.038129	,0.788661	,0.004239	,0.013989	,3.739619	,0.034909	,0.004101	,0.244973	,0.219331	
0.007105	,5.947055	,4.615288	,8.458696	,0.083411	,361.012555	,0.349942	,21.024812	,8.847174	,0.000331	,0.759681	,0.054731	,2.480992	,0.032436	,45.746392	,0.007241	,5.331251	,4.240908	
0.651153	,2.496199	,278.834296	,3.570521	,0.998305	,5.821883	,186.991186	,3.017052	,19.032612	,0.030309	,0.318866	,3.306581	,1.047258	,0.388214	,0.737731	,3.869486	,0.765032	,9.123314	
0.054655	,73.352979	,0.593175	,1.080577	,0.641635	,46.118459	,0.397793	,259.327104	,10.056956	,0.002544	,9.370155	,0.007034	,0.316941	,0.249515	,5.843988	,0.008232	,65.757440	,4.820818	
0.112258	,12.336741	,16.227899	,28.678398	,1.317881	,84.161083	,10.882715	,43.614471	,275.135260	,0.005225	,1.575903	,0.192440	,8.411564	,0.512489	,10.664632	,0.225201	,11.059299	,131.886540	
26.983633	,1.319997	,0.483824	,0.010197	,2.056037	,0.058900	,0.324461	,0.206554	,0.097827	,439.732885	,59.033054	,2.008692	,1.047082	,279.919024	,2.613006	,2.350647	,18.336772	,16.417408	
0.000722	,14.826838	,0.001015	,0.000632	,0.008479	,0.026975	,0.000681	,0.151684	,0.005882	,0.011770	,663.087283	,0.004213	,0.064903	,1.154384	,1.196721	,0.004931	,13.465690	,0.987198	
0.001277	,0.004894	,61.579102	,0.788531	,0.002367	,0.100949	,0.366590	,0.005915	,0.037313	,0.020803	,0.218857	,255.658016	,80.971806	,0.322264	,4.478466	,2.655867	,0.525089	,6.261894	
0.000142	,0.016057	,4.154364	,7.613935	,0.001664	,0.974747	,0.024732	,0.056768	,0.347406	,0.002310	,0.718115	,17.247678	,781.851345	,0.226552	,43.243379	,0.179175	,5.039551	,58.302080	
0.207947	,1.567310	,0.090735	,0.012107	,2.441253	,0.069935	,0.050311	,0.245253	,0.116155	,3.388766	,70.093381	,0.376706	,1.243262	,332.364149	,3.102574	,0.364494	,21.772317	,19.493344	
0.000300	,0.251282	,0.195011	,0.357407	,0.003524	,15.253945	,0.014786	,0.888366	,0.373822	,0.004892	,11.237870	,0.809627	,36.701033	,0.479829	,676.721305	,0.107123	,78.864602	,62.735275	
0.051145	,0.196066	,21.901259	,0.280449	,0.078413	,0.457284	,14.687370	,0.236977	,1.494932	,0.833478	,8.768480	,90.927480	,28.798480	,10.675488	,20.286823	,106.406783	,21.037580	,250.881512	
0.001665	,2.234198	,0.018067	,0.032912	,0.019543	,1.404684	,0.012116	,7.898632	,0.306317	,0.027128	,99.918031	,0.075009	,3.379674	,2.660683	,62.316982	,0.087778	,701.200104	,51.406477	
0.000104	,0.011471	,0.015089	,0.026666	,0.001225	,0.078255	,0.010119	,0.040554	,0.255826	,0.001701	,0.513005	,0.062645	,2.738225	,0.166831	,3.471668	,0.073310	,3.600145	,42.933160	
573.812866	,28.070034	,10.288619	,0.216838	,43.722086	,1.252514	,6.899729	,4.392407	,2.080305	,0.676950	,0.090879	,0.003092	,0.001612	,0.430924	,0.004023	,0.003619	,0.028229	,0.025274	
0.009919	,203.631119	,0.013938	,0.008680	,0.116451	,0.370477	,0.009347	,2.083215	,0.080789	,0.000012	,0.659271	,0.000004	,0.000065	,0.001148	,0.001190	,0.000005	,0.013388	,0.000982	
0.008827	,0.033837	,425.781377	,5.452204	,0.016367	,0.697999	,2.534746	,0.040897	,0.257995	,0.000010	,0.000110	,0.127971	,0.040531	,0.000161	,0.002242	,0.001329	,0.000263	,0.003134	
0.005389	,0.610530	,157.957504	,289.497529	,0.063271	,37.061897	,0.940347	,2.158427	,13.209074	,0.000006	,0.001977	,0.047475	,2.152077	,0.000624	,0.119029	,0.000493	,0.013872	,0.160479	
23.058673	,173.794504	,10.061394	,1.342545	,270.703562	,7.754891	,5.578870	,27.195417	,12.880128	,0.027203	,0.562673	,0.003024	,0.009980	,2.668046	,0.024906	,0.002926	,0.174777	,0.156482	
0.016269	,13.617360	,10.567926	,19.368427	,0.190992	,826.633986	,0.801284	,48.141884	,20.257952	,0.000019	,0.044087	,0.003176	,0.143982	,0.001882	,2.654843	,0.000420	,0.309393	,0.246117	
0.442396	,1.695931	,189.441462	,2.425831	,0.678254	,3.955417	,127.042779	,2.049801	,12.930855	,0.000522	,0.005491	,0.056938	,0.018033	,0.006685	,0.012703	,0.066631	,0.013173	,0.157099	
0.101035	,135.599969	,1.096540	,1.997550	,1.186123	,85.254365	,0.735359	,479.390854	,18.591241	,0.000119	,0.439015	,0.000330	,0.014849	,0.011690	,0.273806	,0.000386	,3.080901	,0.225867	
0.211027	,23.191076	,30.505823	,53.910745	,2.477403	,158.209211	,20.457742	,81.988145	,517.209744	,0.000249	,0.075083	,0.009169	,0.400764	,0.024417	,0.508110	,0.010730	,0.526913	,6.283650	
104.557789	,5.114805	,1.874749	,0.039511	,7.966856	,0.228228	,1.257240	,0.800366	,0.379065	,17.548123	,2.355792	,0.080160	,0.041785	,11.170539	,0.104275	,0.093806	,0.731753	,0.655158	
0.009247	,189.830122	,0.012993	,0.008092	,0.108559	,0.345368	,0.008713	,1.942026	,0.075314	,0.001552	,87.432530	,0.000556	,0.008558	,0.152213	,0.157796	,0.000650	,1.775542	,0.130169	
0.006910	,0.026491	,333.345647	,4.268549	,0.012814	,0.546466	,1.984461	,0.032019	,0.201985	,0.001160	,0.012201	,14.253011	,4.514202	,0.017966	,0.249676	,0.148065	,0.029274	,0.349102	
0.001126	,0.127581	,33.007948	,60.495508	,0.013221	,7.744723	,0.196502	,0.451041	,2.760264	,0.000189	,0.058762	,1.411336	,63.977005	,0.018538	,3.538501	,0.014661	,0.412374	,4.770718	
9.366095	,70.592785	,4.086791	,0.545322	,109.955826	,3.149923	,2.266055	,11.046380	,5.231720	,1.571929	,32.513838	,0.174741	,0.576705	,154.171961	,1.439174	,0.169076	,10.099407	,9.042272	
0.009758	,8.167489	,6.338484	,11.616894	,0.114554	,495.802730	,0.480598	,28.874783	,12.150417	,0.001638	,3.761807	,0.271017	,12.285442	,0.160620	,226.528234	,0.035859	,26.399433	,21.000242	
0.061469	,0.235641	,26.321881	,0.337056	,0.094240	,0.549584	,17.651917	,0.284809	,1.796673	,0.010316	,0.108532	,1.125457	,0.356454	,0.132136	,0.251101	,1.317052	,0.260393	,3.105291	
0.049286	,66.147305	,0.534905	,0.974429	,0.578605	,41.588110	,0.358717	,233.852655	,9.069032	,0.008272	,30.466325	,0.022871	,1.030507	,0.811277	,19.001269	,0.026765	,213.805157	,15.674513	
0.069733	,7.663365	,10.080483	,17.814512	,0.818644	,52.279371	,6.760149	,27.092536	,170.909140	,0.011703	,3.529616	,0.431016	,18.839731	,1.147843	,23.886019	,0.504391	,24.769972	,295.391775	
